GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
news-api,com.example.newsapi.config,WorldNewsProperties,0,27,0,0,0,11,0,7,0,7
news-api,com.example.newsapi.config,WebClientConfig,0,59,0,0,0,15,0,4,0,4
news-api,com.example.newsapi.web,GlobalExceptionHandler,0,61,0,0,0,11,0,3,0,3
news-api,com.example.newsapi.web,TopNewsController,0,18,0,0,0,5,0,2,0,2
news-api,com.example.newsapi.client,WorldNewsClient,0,127,0,6,0,27,0,7,0,4
news-api,com.example.newsapi.model,TopNewsResponse,0,35,0,4,0,10,0,9,0,7
news-api,com.example.newsapi.model,WorldNewsItem,0,84,0,4,0,31,0,23,0,21
news-api,com.example.newsapi.model,TopNewsCluster,0,21,0,4,0,4,0,5,0,3
news-api,com.example.newsapi,NewsApiApplication,0,8,0,0,0,3,0,2,0,2
